time_center_iso,zscore,kind,idx_local
2026-05-02T06:29:46.819538,2.362601994010745,peak,629
2026-05-02T06:30:49.819538,2.132804189496144,peak,692
2026-05-02T06:31:18.819538,2.233596159981022,peak,721
2026-05-02T06:32:32.819538,2.238187530049158,peak,795
2026-05-02T06:32:50.819538,2.503039833483037,peak,813
2026-05-02T06:33:01.819538,2.110591495386449,peak,824
2026-05-02T06:33:27.819538,2.005453954737148,peak,850
2026-05-02T06:35:37.819538,2.204971699989206,peak,980
2026-05-02T06:37:54.819538,2.286602666195782,peak,1117
2026-05-02T06:38:01.819538,2.187196735541824,peak,1124
2026-05-02T06:38:08.819538,2.433935234888734,peak,1131
2026-05-02T06:39:37.819538,2.1665634951447803,peak,1220
2026-05-02T06:43:25.819538,2.202070260344952,peak,1448
2026-05-02T06:44:00.819538,2.0643547548631016,peak,1483
2026-05-02T06:46:34.819538,3.0677829316679786,peak,1637
2026-05-02T06:46:44.819538,2.210330166171156,peak,1647
2026-05-02T06:47:31.819538,2.076181033442734,peak,1694
2026-05-02T06:49:22.819538,2.021167319372488,peak,1805
2026-05-02T06:52:41.819538,2.0186692328252978,peak,2004
2026-05-02T06:53:21.819538,2.0301157709569084,peak,2044
2026-05-02T06:55:33.819538,2.436995143845344,peak,2176
2026-05-02T06:55:44.819538,2.509591623777323,peak,2187
2026-05-02T06:57:34.819538,2.144179695830146,peak,2297
2026-05-02T06:57:41.819538,2.600302247958302,peak,2304
2026-05-02T06:57:47.819538,2.568873416918023,peak,2310
2026-05-02T06:59:29.819538,2.8990947722917837,peak,2412
2026-05-02T07:00:00.819538,2.3976724425269773,peak,2443
2026-05-02T07:00:07.819538,2.043344047955139,peak,2450
2026-05-02T07:00:13.819538,2.006892567476781,peak,2456
2026-05-02T07:00:35.819538,2.509161628697548,peak,2478
2026-05-02T07:00:41.819538,2.383142341005939,peak,2484
2026-05-02T07:01:13.819538,2.0770953805215773,peak,2516
2026-05-02T07:01:19.819538,2.143614624629542,peak,2522
2026-05-02T07:01:42.819538,2.065255123877641,peak,2545
2026-05-02T07:04:22.819538,2.394611120204938,peak,2705
2026-05-02T07:06:49.819538,2.124244507587973,peak,2852
2026-05-02T07:07:22.819538,2.769506983019314,peak,2885
2026-05-02T07:08:08.819538,2.052846215882397,peak,2931
2026-05-02T07:08:45.819538,3.248354173495964,peak,2968
2026-05-02T07:10:10.819538,2.26627102851758,peak,3053
2026-05-02T07:10:45.819538,2.0621559111962227,peak,3088
2026-05-02T07:11:06.819538,2.943933775402292,peak,3109
2026-05-02T07:14:08.819538,2.017758820991989,peak,3291
2026-05-02T07:14:59.819538,2.183994310393063,peak,3342
2026-05-02T07:15:33.819538,2.0998500302578127,peak,3376
2026-05-02T07:16:36.819538,2.025407592940314,peak,3439
2026-05-02T07:17:30.819538,2.0429975354412324,peak,3493
2026-05-02T07:18:09.819538,2.391761231979247,peak,3532
2026-05-02T07:19:15.819538,2.9967864545468146,peak,3598
2026-05-02T07:19:22.819538,2.20398619639213,peak,3605
2026-05-02T07:19:32.819538,3.275809811215328,peak,3615
2026-05-02T07:21:07.819538,2.1228271236461413,peak,3710
2026-05-02T07:21:23.819538,2.499709299424814,peak,3726
2026-05-02T07:22:48.819538,2.1593345062569718,peak,3811
2026-05-02T07:23:47.819538,2.9932291466858048,peak,3870
2026-05-02T07:24:35.819538,2.6989209981474453,peak,3918
2026-05-02T07:24:41.819538,2.559800224723388,peak,3924
2026-05-02T07:25:00.819538,2.2455757685325435,peak,3943
2026-05-02T07:26:08.819538,2.0160385178713134,peak,4011
2026-05-02T07:27:01.819538,2.2214023728196226,peak,4064
2026-05-02T07:27:40.819538,2.40155992530796,peak,4103
2026-05-02T07:28:01.819538,2.158434528885836,peak,4124
2026-05-02T07:30:05.819538,2.613393709498487,peak,4248
2026-05-02T07:31:27.819538,2.480188471569048,peak,4330
