time_center_iso,zscore,kind,idx_local
2026-05-02T06:21:09.345000,2.765912408336692,peak,625
2026-05-02T06:21:45.345000,2.699166754164521,peak,661
2026-05-02T06:21:54.345000,2.437938743663265,peak,670
2026-05-02T06:23:52.345000,3.302802249886724,peak,788
2026-05-02T06:23:58.345000,2.1362501009525285,peak,794
2026-05-02T06:24:03.345000,2.8373376582299485,peak,799
2026-05-02T06:24:32.345000,2.5701251563323537,peak,828
2026-05-02T06:25:04.345000,2.2570172955191508,peak,860
2026-05-02T06:25:09.345000,3.670445705398023,peak,865
2026-05-02T06:25:15.345000,5.812026691689469,peak,871
2026-05-02T06:25:21.345000,3.419926473932102,peak,877
2026-05-02T06:25:29.345000,2.6127341782045312,peak,885
2026-05-02T06:25:59.345000,2.4957347170654813,peak,915
2026-05-02T06:26:21.345000,2.3173024931404416,peak,937
2026-05-02T06:26:52.345000,2.001174585512369,peak,968
2026-05-02T06:27:04.345000,3.148121038889673,peak,980
2026-05-02T06:27:16.345000,3.1849305674843915,peak,992
2026-05-02T06:27:43.345000,2.529102139274359,peak,1019
2026-05-02T06:27:49.345000,3.188819771340432,peak,1025
2026-05-02T06:27:54.345000,3.7835215122918657,peak,1030
2026-05-02T06:28:40.345000,3.1440146273149403,peak,1076
2026-05-02T06:28:47.345000,3.392808009893433,peak,1083
2026-05-02T06:28:54.345000,3.831393290913838,peak,1090
2026-05-02T06:29:03.345000,2.148377646350489,peak,1099
2026-05-02T06:29:19.345000,2.399262645557572,peak,1115
2026-05-02T06:30:01.345000,2.213301640105465,peak,1157
2026-05-02T06:30:15.345000,2.343635402864857,peak,1171
2026-05-02T06:30:29.345000,2.0261439878465817,peak,1185
2026-05-02T06:31:15.345000,2.906096131799013,peak,1231
2026-05-02T06:31:42.345000,2.3587510827040243,peak,1258
2026-05-02T06:31:47.345000,2.1460621267062,peak,1263
2026-05-02T06:32:23.345000,2.6773711259666158,peak,1299
2026-05-02T06:32:29.345000,2.538903492107007,peak,1305
2026-05-02T06:32:34.345000,2.144723355750952,peak,1310
2026-05-02T06:32:40.345000,2.0302658205012434,peak,1316
2026-05-02T06:32:45.345000,2.8117260804510344,peak,1321
2026-05-02T06:33:11.345000,2.224449853870038,peak,1347
2026-05-02T06:33:20.345000,2.8995602135411547,peak,1356
2026-05-02T06:33:26.345000,2.056120411592348,peak,1362
2026-05-02T06:33:37.345000,2.7110284628430934,peak,1373
2026-05-02T06:33:56.345000,3.37624386368662,peak,1392
2026-05-02T06:34:02.345000,3.341206826215952,peak,1398
2026-05-02T06:34:12.345000,2.525133546344332,peak,1408
2026-05-02T06:34:22.345000,2.01656002377529,peak,1418
2026-05-02T06:35:21.345000,2.304910367930599,peak,1477
2026-05-02T06:35:27.345000,3.5690938090767035,peak,1483
2026-05-02T06:35:33.345000,2.428914403717433,peak,1489
2026-05-02T06:35:51.345000,2.2784535910249,peak,1507
2026-05-02T06:36:08.345000,2.180697832469338,peak,1524
2026-05-02T06:36:19.345000,2.3211473028675584,peak,1535
2026-05-02T06:36:28.345000,3.613044020458017,peak,1544
2026-05-02T06:37:45.345000,2.925466799770347,peak,1621
2026-05-02T06:38:04.345000,2.7081765738257686,peak,1640
2026-05-02T06:38:20.345000,2.791227216740097,peak,1656
2026-05-02T06:38:28.345000,2.546164791398074,peak,1664
2026-05-02T06:38:50.345000,2.0135955493326807,peak,1686
2026-05-02T06:38:56.345000,2.253829916001417,peak,1692
2026-05-02T06:39:47.345000,2.0724297064772177,peak,1743
2026-05-02T06:40:03.345000,2.649057276449209,peak,1759
2026-05-02T06:40:13.345000,2.7941850659782026,peak,1769
2026-05-02T06:40:18.345000,4.196433290236715,peak,1774
2026-05-02T06:40:24.345000,3.891586921935778,peak,1780
2026-05-02T06:40:30.345000,4.657328466252738,peak,1786
2026-05-02T06:40:48.345000,2.694043913351493,peak,1804
2026-05-02T06:40:55.345000,4.619164692070008,peak,1811
2026-05-02T06:41:01.345000,4.986251258092751,peak,1817
2026-05-02T06:41:07.345000,4.749152871239951,peak,1823
2026-05-02T06:41:18.345000,2.415297662186745,peak,1834
2026-05-02T06:42:06.345000,3.559060310411878,peak,1882
2026-05-02T06:42:11.345000,3.640567976571601,peak,1887
2026-05-02T06:42:18.345000,4.313300195630372,peak,1894
2026-05-02T06:42:24.345000,3.456380693857874,peak,1900
2026-05-02T06:42:43.345000,2.086211614018216,peak,1919
2026-05-02T06:42:49.345000,2.813809864036504,peak,1925
2026-05-02T06:42:54.345000,2.780380190449542,peak,1930
2026-05-02T06:43:00.345000,2.873926995320163,peak,1936
2026-05-02T06:43:06.345000,2.763601001383225,peak,1942
2026-05-02T06:43:24.345000,2.1127533842588817,peak,1960
2026-05-02T06:44:03.345000,2.123210662571988,peak,1999
2026-05-02T06:44:09.345000,4.754348635406153,peak,2005
2026-05-02T06:44:15.345000,3.136177967169776,peak,2011
2026-05-02T06:44:20.345000,2.3468196720080226,peak,2016
2026-05-02T06:45:29.345000,2.911788581801827,peak,2085
2026-05-02T06:46:05.345000,2.3838178955923808,peak,2121
2026-05-02T06:46:11.345000,3.7323891719668634,peak,2127
2026-05-02T06:46:17.345000,4.058229882325101,peak,2133
2026-05-02T06:46:48.345000,3.722771303963889,peak,2164
2026-05-02T06:46:55.345000,2.392972717473324,peak,2171
2026-05-02T06:47:01.345000,2.517356873379544,peak,2177
2026-05-02T06:47:10.345000,2.0450152131390986,peak,2186
2026-05-02T06:47:21.345000,3.058120165003337,peak,2197
2026-05-02T06:47:43.345000,3.434173071998803,peak,2219
2026-05-02T06:47:49.345000,2.3765035850429457,peak,2225
2026-05-02T06:48:12.345000,2.112901007657138,peak,2248
2026-05-02T06:48:18.345000,2.896955145758915,peak,2254
2026-05-02T06:48:41.345000,2.474577375715966,peak,2277
2026-05-02T06:48:50.345000,2.1344432405130416,peak,2286
2026-05-02T06:49:25.345000,2.1705700349402663,peak,2321
2026-05-02T06:49:40.345000,2.426848042587367,peak,2336
2026-05-02T06:49:46.345000,2.5665270813995407,peak,2342
2026-05-02T06:49:52.345000,2.586491102079456,peak,2348
2026-05-02T06:50:16.345000,2.088056473033122,peak,2372
2026-05-02T06:50:34.345000,2.2402102319798134,peak,2390
2026-05-02T06:50:43.345000,3.131681948301349,peak,2399
2026-05-02T06:50:49.345000,2.5615835126241246,peak,2405
2026-05-02T06:50:55.345000,2.6942629328734937,peak,2411
2026-05-02T06:51:18.345000,3.126363537483833,peak,2434
2026-05-02T06:51:50.345000,2.2868023414444387,peak,2466
2026-05-02T06:51:57.345000,2.655242257685711,peak,2473
2026-05-02T06:52:03.345000,2.450404359487199,peak,2479
2026-05-02T06:53:08.345000,2.434853638564949,peak,2544
2026-05-02T06:53:14.345000,2.5454559794115768,peak,2550
2026-05-02T06:53:30.345000,2.051923582949613,peak,2566
2026-05-02T06:53:36.345000,4.029081946586134,peak,2572
2026-05-02T06:53:41.345000,3.8766906395419225,peak,2577
2026-05-02T06:53:47.345000,2.37827886102814,peak,2583
2026-05-02T06:54:14.345000,2.3118377972975903,peak,2610
2026-05-02T06:54:19.345000,3.121322535932404,peak,2615
2026-05-02T06:54:49.345000,2.23455443154991,peak,2645
2026-05-02T06:54:55.345000,3.112749903041422,peak,2651
2026-05-02T06:55:08.345000,2.3949134549531266,peak,2664
2026-05-02T06:55:23.345000,2.177813385879596,peak,2679
2026-05-02T06:55:41.345000,2.015747619283926,peak,2697
2026-05-02T06:55:48.345000,2.7299101938272528,peak,2704
2026-05-02T06:55:54.345000,2.294748125880464,peak,2710
2026-05-02T06:56:04.345000,2.1726457897339366,peak,2720
2026-05-02T06:56:21.345000,2.692076082419048,peak,2737
2026-05-02T06:56:27.345000,3.6621388213617743,peak,2743
2026-05-02T06:56:33.345000,2.355485659931265,peak,2749
2026-05-02T06:56:38.345000,2.4022608163820047,peak,2754
2026-05-02T06:56:44.345000,4.445020575281999,peak,2760
2026-05-02T06:56:51.345000,2.2593450240773314,peak,2767
2026-05-02T06:57:20.345000,3.0143068015997563,peak,2796
2026-05-02T06:57:26.345000,3.086645293823604,peak,2802
2026-05-02T06:57:43.345000,2.085108339478316,peak,2819
2026-05-02T06:58:59.345000,2.430268692996121,peak,2895
2026-05-02T06:59:04.345000,2.4113923006430404,peak,2900
2026-05-02T06:59:22.345000,3.018316886640867,peak,2918
2026-05-02T06:59:27.345000,3.581686404917895,peak,2923
2026-05-02T06:59:33.345000,3.009075591184902,peak,2929
2026-05-02T06:59:44.345000,3.069399702836207,peak,2940
2026-05-02T06:59:50.345000,3.5378639572643165,peak,2946
2026-05-02T06:59:55.345000,3.59309707849046,peak,2951
2026-05-02T07:00:06.345000,2.2684466745030027,peak,2962
2026-05-02T07:00:14.345000,3.080221321184802,peak,2970
2026-05-02T07:00:37.345000,2.531688264511391,peak,2993
2026-05-02T07:00:46.345000,2.4277921787138403,peak,3002
2026-05-02T07:00:56.345000,2.585172189260884,peak,3012
2026-05-02T07:01:31.345000,3.0154697403354227,peak,3047
2026-05-02T07:02:17.345000,2.595691126524235,peak,3093
2026-05-02T07:02:24.345000,4.570914086240402,peak,3100
2026-05-02T07:02:29.345000,4.734833153596474,peak,3105
2026-05-02T07:03:20.345000,2.7393381345824883,peak,3156
2026-05-02T07:03:29.345000,2.939434807691341,peak,3165
2026-05-02T07:03:40.345000,2.468385934283485,peak,3176
2026-05-02T07:04:16.345000,4.855294685963819,peak,3212
2026-05-02T07:04:49.345000,2.1143844993647085,peak,3245
2026-05-02T07:04:55.345000,2.404696058799219,peak,3251
2026-05-02T07:05:25.345000,3.0993790816557856,peak,3281
2026-05-02T07:05:30.345000,3.705327197400008,peak,3286
2026-05-02T07:05:36.345000,4.454690474573875,peak,3292
2026-05-02T07:05:42.345000,2.3067041132963766,peak,3298
2026-05-02T07:05:58.345000,2.542350743166597,peak,3314
2026-05-02T07:06:23.345000,3.2137498985617228,peak,3339
2026-05-02T07:06:35.345000,2.997453728995929,peak,3351
2026-05-02T07:06:53.345000,2.4214588755872914,peak,3369
2026-05-02T07:07:18.345000,2.7445782282331077,peak,3394
2026-05-02T07:07:24.345000,2.355756025101312,peak,3400
2026-05-02T07:08:38.345000,2.247731676928597,peak,3474
2026-05-02T07:08:43.345000,2.51946178762468,peak,3479
2026-05-02T07:08:49.345000,2.1285379380794285,peak,3485
2026-05-02T07:08:57.345000,2.219499686281936,peak,3493
2026-05-02T07:09:19.345000,2.0953876330055548,peak,3515
2026-05-02T07:09:44.345000,2.1307937528314733,peak,3540
2026-05-02T07:09:50.345000,2.247437048161285,peak,3546
2026-05-02T07:09:57.345000,2.1417882050597554,peak,3553
2026-05-02T07:10:03.345000,2.0525832876329466,peak,3559
2026-05-02T07:10:37.345000,2.029514472270978,peak,3593
2026-05-02T07:11:08.345000,2.3289538051655763,peak,3624
2026-05-02T07:11:14.345000,5.475794398578178,peak,3630
2026-05-02T07:11:25.345000,2.173737953889578,peak,3641
2026-05-02T07:11:31.345000,2.512504292990692,peak,3647
2026-05-02T07:11:46.345000,2.8523937654283467,peak,3662
2026-05-02T07:11:52.345000,2.3324118134993155,peak,3668
2026-05-02T07:11:57.345000,2.545272839199636,peak,3673
2026-05-02T07:12:24.345000,2.286574691992085,peak,3700
2026-05-02T07:12:29.345000,2.0061151971583744,peak,3705
2026-05-02T07:12:42.345000,2.6659439890541647,peak,3718
2026-05-02T07:14:08.345000,2.4427066807109985,peak,3804
2026-05-02T07:14:13.345000,2.485073471802171,peak,3809
2026-05-02T07:14:26.345000,2.7079490342890105,peak,3822
2026-05-02T07:14:32.345000,2.848788521877464,peak,3828
2026-05-02T07:14:46.345000,2.5054852527427958,peak,3842
2026-05-02T07:14:52.345000,2.4121488663882635,peak,3848
2026-05-02T07:15:02.345000,2.1859543168088647,peak,3858
2026-05-02T07:15:08.345000,2.2760880305266222,peak,3864
2026-05-02T07:16:13.345000,2.3431701702924275,peak,3929
2026-05-02T07:16:19.345000,2.405989667412219,peak,3935
2026-05-02T07:16:28.345000,2.4627903339082,peak,3944
2026-05-02T07:16:34.345000,3.3353472752422086,peak,3950
2026-05-02T07:16:40.345000,3.5020602761481374,peak,3956
2026-05-02T07:16:46.345000,2.0749534641797096,peak,3962
2026-05-02T07:16:59.345000,2.2472386653449505,peak,3975
2026-05-02T07:17:12.345000,2.061858682674324,peak,3988
2026-05-02T07:17:34.345000,3.0550553277661807,peak,4010
2026-05-02T07:18:20.345000,2.213175568353799,peak,4056
2026-05-02T07:18:25.345000,2.1833192688971086,peak,4061
2026-05-02T07:18:35.345000,2.7001978836523373,peak,4071
2026-05-02T07:18:48.345000,3.2964216210500847,peak,4084
2026-05-02T07:19:08.345000,2.2146610373620943,peak,4104
2026-05-02T07:20:43.345000,2.033158134587369,peak,4199
2026-05-02T07:20:55.345000,2.185793336959652,peak,4211
2026-05-02T07:21:02.345000,2.114820766619561,peak,4218
2026-05-02T07:22:47.345000,2.230804161218677,peak,4323
2026-05-02T07:22:55.345000,3.498739522138357,peak,4331
2026-05-02T07:23:11.345000,2.132581349129067,peak,4347
2026-05-02T07:23:31.345000,2.537378242187492,peak,4367
2026-05-02T07:23:37.345000,2.181173007341791,peak,4373
2026-05-02T07:24:13.345000,3.381748897346586,peak,4409
2026-05-02T07:24:18.345000,2.642428355847824,peak,4414
2026-05-02T07:24:36.345000,3.5996891623293243,peak,4432
2026-05-02T07:25:38.345000,2.882388884449983,peak,4494
2026-05-02T07:25:46.345000,2.093601362575714,peak,4502
2026-05-02T07:26:04.345000,2.257218416837532,peak,4520
2026-05-02T07:26:13.345000,2.0107489487656776,peak,4529
2026-05-02T07:26:18.345000,3.890775633989042,peak,4534
2026-05-02T07:26:24.345000,2.6634454452254785,peak,4540
2026-05-02T07:26:31.345000,2.731534099170398,peak,4547
2026-05-02T07:27:59.345000,2.1336233074937576,peak,4635
2026-05-02T07:28:04.345000,2.6216172598831613,peak,4640
2026-05-02T07:30:27.345000,3.2865034914952105,peak,4783
2026-05-02T07:30:42.345000,2.424687849320622,peak,4798
2026-05-02T07:30:48.345000,4.1363182306300645,peak,4804
2026-05-02T07:31:09.345000,3.1281618533901745,peak,4825
2026-05-02T07:31:37.345000,2.2374246841186576,peak,4853
2026-05-02T07:32:05.345000,2.5917000914604835,peak,4881
2026-05-02T07:32:11.345000,2.106493828029934,peak,4887
2026-05-02T07:32:42.345000,2.512049373902216,peak,4918
2026-05-02T07:32:48.345000,3.045623580360739,peak,4924
2026-05-02T07:33:28.345000,2.377028955519757,peak,4964
2026-05-02T07:33:43.345000,2.641532067863298,peak,4979
2026-05-02T07:34:03.345000,2.487573741121796,peak,4999
2026-05-02T07:34:09.345000,2.366527946919047,peak,5005
2026-05-02T07:34:28.345000,2.7813499521904435,peak,5024
2026-05-02T07:34:43.345000,2.1249186553450774,peak,5039
2026-05-02T07:35:22.345000,2.6361902628080776,peak,5078
2026-05-02T07:35:27.345000,2.321080485268138,peak,5083
2026-05-02T07:35:33.345000,3.625411330615087,peak,5089
2026-05-02T07:36:16.345000,2.183588339062422,peak,5132
2026-05-02T07:36:30.345000,2.157554075780504,peak,5146
2026-05-02T07:36:36.345000,2.2438797677285747,peak,5152
2026-05-02T07:36:51.345000,2.1378235065478863,peak,5167
2026-05-02T07:37:49.345000,2.09306554797384,peak,5225
2026-05-02T07:37:54.345000,2.2409112755023317,peak,5230
2026-05-02T07:38:10.345000,2.2610020888224693,peak,5246
2026-05-02T07:38:29.345000,2.1470151902363748,peak,5265
2026-05-02T07:38:35.345000,3.541559550075501,peak,5271
2026-05-02T07:38:41.345000,2.5564174619849456,peak,5277
2026-05-02T07:39:23.345000,2.506632060963802,peak,5319
2026-05-02T07:39:29.345000,2.786560621889779,peak,5325
2026-05-02T07:39:35.345000,2.338605449893928,peak,5331
2026-05-02T07:39:41.345000,2.124067331619478,peak,5337
2026-05-02T07:40:06.345000,2.8061979323750377,peak,5362
2026-05-02T07:40:18.345000,2.388289755968883,peak,5374
2026-05-02T07:40:24.345000,3.272275543407848,peak,5380
2026-05-02T07:40:32.345000,2.009345000039248,peak,5388
2026-05-02T07:41:09.345000,2.974155386634928,peak,5425
2026-05-02T07:41:14.345000,2.995745265155218,peak,5430
2026-05-02T07:41:20.345000,2.3780886934424883,peak,5436
2026-05-02T07:42:20.345000,3.104083010737748,peak,5496
2026-05-02T07:43:04.345000,2.1375193274870536,peak,5540
2026-05-02T07:43:35.345000,2.3482148789962998,peak,5571
2026-05-02T07:43:53.345000,2.4512698685466288,peak,5589
2026-05-02T07:44:18.345000,2.4706672832545915,peak,5614
2026-05-02T07:44:38.345000,2.1518172381759806,peak,5634
2026-05-02T07:45:17.345000,2.210761074592553,peak,5673
2026-05-02T07:46:23.345000,2.70447877756978,peak,5739
2026-05-02T07:46:35.345000,2.6008013124096943,peak,5751
2026-05-02T07:46:41.345000,2.776624307440003,peak,5757
2026-05-02T07:47:15.345000,2.220331243345917,peak,5791
2026-05-02T07:47:21.345000,2.81302086011162,peak,5797
2026-05-02T07:47:27.345000,3.8237033312346975,peak,5803
2026-05-02T07:47:34.345000,2.919404115540787,peak,5810
2026-05-02T07:47:40.345000,2.382688458881759,peak,5816
2026-05-02T07:47:45.345000,3.2385296751529467,peak,5821
2026-05-02T07:48:07.345000,3.103801769671762,peak,5843
2026-05-02T07:48:43.345000,2.7807646983705867,peak,5879
2026-05-02T07:49:34.345000,2.1049860391851505,peak,5930
2026-05-02T07:50:00.345000,2.653799874760856,peak,5956
2026-05-02T07:50:05.345000,2.786865383039589,peak,5961
2026-05-02T07:50:21.345000,2.320321386025518,peak,5977
2026-05-02T07:52:06.345000,2.0123285760685587,peak,6082
2026-05-02T07:52:13.345000,3.076764320638427,peak,6089
2026-05-02T07:52:19.345000,2.9208040065998944,peak,6095
2026-05-02T07:53:03.345000,2.374418935691793,peak,6139
2026-05-02T07:53:31.345000,3.46050024820999,peak,6167
2026-05-02T07:53:37.345000,2.004933566891818,peak,6173
2026-05-02T07:53:50.345000,2.226356897320939,peak,6186
2026-05-02T07:53:59.345000,2.6296222857422524,peak,6195
2026-05-02T07:54:05.345000,2.6332959578271766,peak,6201
2026-05-02T07:54:33.345000,2.3244807739046487,peak,6229
2026-05-02T07:55:00.345000,2.5090861153171664,peak,6256
2026-05-02T07:55:30.345000,2.0197905796649547,peak,6286
2026-05-02T07:55:54.345000,2.1140239895109483,peak,6310
2026-05-02T07:56:00.345000,3.171209462338537,peak,6316
2026-05-02T07:56:06.345000,3.030057310604382,peak,6322
2026-05-02T07:56:29.345000,2.644351856079996,peak,6345
2026-05-02T07:56:36.345000,2.591671784794448,peak,6352
2026-05-02T07:57:48.345000,3.089612157537429,peak,6424
2026-05-02T07:58:15.345000,2.4887667097885315,peak,6451
2026-05-02T07:58:21.345000,3.5388017172119373,peak,6457
2026-05-02T07:58:28.345000,3.306157084579865,peak,6464
2026-05-02T07:58:34.345000,2.2059589914101894,peak,6470
2026-05-02T07:58:59.345000,2.159471391399041,peak,6495
2026-05-02T07:59:11.345000,2.4009284931736405,peak,6507
2026-05-02T07:59:18.345000,2.780240254669493,peak,6514
2026-05-02T08:00:39.345000,2.576106903151649,peak,6595
2026-05-02T08:01:26.345000,2.1794411338277,peak,6642
2026-05-02T08:01:37.345000,2.472611369081313,peak,6653
2026-05-02T08:01:42.345000,3.626474209243392,peak,6658
2026-05-02T08:01:48.345000,2.6359374907507216,peak,6664
2026-05-02T08:01:55.345000,2.568325747904182,peak,6671
2026-05-02T08:02:00.345000,3.3066199567964065,peak,6676
2026-05-02T08:02:07.345000,2.9964599725093115,peak,6683
2026-05-02T08:02:36.345000,3.8434534866363927,peak,6712
2026-05-02T08:02:42.345000,2.792172791428343,peak,6718
2026-05-02T08:04:06.345000,3.015494536994122,peak,6802
2026-05-02T08:04:12.345000,2.2094322309406933,peak,6808
2026-05-02T08:04:30.345000,2.5194206985827146,peak,6826
2026-05-02T08:04:44.345000,2.612268135062322,peak,6840
2026-05-02T08:05:05.345000,2.1424861994405258,peak,6861
2026-05-02T08:05:15.345000,2.444115424185996,peak,6871
2026-05-02T08:05:21.345000,2.975844902654447,peak,6877
2026-05-02T08:06:14.345000,3.505604933325748,peak,6930
2026-05-02T08:06:44.345000,2.512887090000798,peak,6960
2026-05-02T08:06:50.345000,3.5384442878466253,peak,6966
2026-05-02T08:06:55.345000,2.624390843675251,peak,6971
2026-05-02T08:07:01.345000,2.672743649576744,peak,6977
2026-05-02T08:07:07.345000,2.315097351158188,peak,6983
2026-05-02T08:07:21.345000,3.195540630721716,peak,6997
2026-05-02T08:07:26.345000,2.404761314369558,peak,7002
2026-05-02T08:08:48.345000,2.633015207487292,peak,7084
2026-05-02T08:09:05.345000,2.623868446565384,peak,7101
2026-05-02T08:09:43.345000,3.529517649683842,peak,7139
2026-05-02T08:09:49.345000,2.01335119510759,peak,7145
2026-05-02T08:10:03.345000,2.2279250367394354,peak,7159
2026-05-02T08:10:09.345000,2.4226556685095795,peak,7165
2026-05-02T08:10:21.345000,2.291813830858053,peak,7177
2026-05-02T08:10:54.345000,3.2668628110947515,peak,7210
2026-05-02T08:11:07.345000,2.9500297178072827,peak,7223
2026-05-02T08:11:28.345000,2.3919426691925803,peak,7244
2026-05-02T08:12:43.345000,2.045758708139213,peak,7319
2026-05-02T08:12:50.345000,3.0139311841066667,peak,7326
2026-05-02T08:13:28.345000,2.8422068168431416,peak,7364
2026-05-02T08:13:34.345000,4.5536362819535725,peak,7370
2026-05-02T08:13:41.345000,5.494177776858227,peak,7377
2026-05-02T08:13:47.345000,3.61097463630659,peak,7383
2026-05-02T08:13:52.345000,2.366831514982501,peak,7388
2026-05-02T08:14:00.345000,3.333023101664027,peak,7396
2026-05-02T08:14:06.345000,2.0730978178061794,peak,7402
2026-05-02T08:14:29.345000,2.243578154019016,peak,7425
2026-05-02T08:14:34.345000,2.045036530429152,peak,7430
2026-05-02T08:14:41.345000,3.749194407655457,peak,7437
2026-05-02T08:15:07.345000,2.922457160870408,peak,7463
2026-05-02T08:15:48.345000,3.054644313090764,peak,7504
2026-05-02T08:16:26.345000,2.4890800021662662,peak,7542
2026-05-02T08:18:30.345000,2.3507003162192324,peak,7666
2026-05-02T08:19:14.345000,2.126720028663612,peak,7710
2026-05-02T08:19:31.345000,2.498857589357146,peak,7727
2026-05-02T08:19:55.345000,2.3495274209276777,peak,7751
2026-05-02T08:21:14.345000,2.48008788567852,peak,7830
2026-05-02T08:21:19.345000,2.0082575423847326,peak,7835
2026-05-02T08:21:40.345000,2.0401907723871955,peak,7856
2026-05-02T08:21:46.345000,2.159292695299556,peak,7862
2026-05-02T08:21:52.345000,3.578142321136605,peak,7868
2026-05-02T08:22:04.345000,2.172095622428474,peak,7880
2026-05-02T08:22:11.345000,2.6707928676734545,peak,7887
2026-05-02T08:22:16.345000,3.2682177047742176,peak,7892
2026-05-02T08:22:24.345000,2.3247604911986484,peak,7900
2026-05-02T08:22:35.345000,2.013626593992543,peak,7911
2026-05-02T08:22:51.345000,2.836550707788542,peak,7927
2026-05-02T08:22:57.345000,3.697064152955196,peak,7933
2026-05-02T08:23:04.345000,2.162849057563867,peak,7940
2026-05-02T08:23:19.345000,2.583197856521196,peak,7955
2026-05-02T08:23:26.345000,2.551858897762238,peak,7962
2026-05-02T08:23:31.345000,3.235578951266296,peak,7967
2026-05-02T08:23:42.345000,2.4383029607804496,peak,7978
2026-05-02T08:24:25.345000,2.1371884141909074,peak,8021
2026-05-02T08:24:55.345000,2.33153717153654,peak,8051
2026-05-02T08:25:33.345000,2.730650200027092,peak,8089
2026-05-02T08:25:38.345000,2.963826564374981,peak,8094
2026-05-02T08:25:44.345000,2.680451063668565,peak,8100
2026-05-02T08:26:32.345000,2.002170402681169,peak,8148
2026-05-02T08:27:17.345000,3.037883472439504,peak,8193
2026-05-02T08:27:22.345000,2.768357000756111,peak,8198
2026-05-02T08:27:28.345000,3.411931308157607,peak,8204
2026-05-02T08:27:34.345000,2.6904924635738494,peak,8210
2026-05-02T08:27:49.345000,2.443812811043666,peak,8225
2026-05-02T08:28:54.345000,2.757473931927916,peak,8290
2026-05-02T08:29:00.345000,2.125555095293213,peak,8296
