time_center_iso,zscore,kind,idx_local
2026-05-02T06:21:41.450000,2.15915733946505,peak,569
2026-05-02T06:21:46.450000,2.577943760065917,peak,574
2026-05-02T06:22:13.450000,2.2040262314814085,peak,601
2026-05-02T06:22:25.450000,2.278795748784697,peak,613
2026-05-02T06:23:24.450000,2.697138376706402,peak,672
2026-05-02T06:23:29.450000,5.8297876521031045,peak,677
2026-05-02T06:23:34.450000,3.106838967151059,peak,682
2026-05-02T06:23:39.450000,4.503273945893559,peak,687
2026-05-02T06:24:04.450000,2.817613585832453,peak,712
2026-05-02T06:24:11.450000,2.5372498999139217,peak,719
2026-05-02T06:24:20.450000,2.0722920970678165,peak,728
2026-05-02T06:24:26.450000,4.448379041235323,peak,734
2026-05-02T06:24:33.450000,2.9199155249898863,peak,741
2026-05-02T06:24:49.450000,2.421715560563936,peak,757
2026-05-02T06:25:36.450000,2.5459026910765017,peak,804
2026-05-02T06:25:43.450000,4.256313791220876,peak,811
2026-05-02T06:25:52.450000,4.067744708431085,peak,820
2026-05-02T06:26:09.450000,2.775729409308863,peak,837
2026-05-02T06:27:03.450000,2.1661603224202586,peak,891
2026-05-02T06:27:31.450000,3.229943875846568,peak,919
2026-05-02T06:28:11.450000,2.5899031238497483,peak,959
2026-05-02T06:28:48.450000,2.114726790280189,peak,996
2026-05-02T06:29:17.450000,2.0730051181330897,peak,1025
2026-05-02T06:29:22.450000,2.3033234253047548,peak,1030
2026-05-02T06:31:07.450000,2.175650852847232,peak,1135
2026-05-02T06:31:12.450000,2.19549290604415,peak,1140
2026-05-02T06:31:53.450000,3.626983831765652,peak,1181
2026-05-02T06:32:59.450000,2.904177507028719,peak,1247
2026-05-02T06:33:04.450000,2.7674455094153605,peak,1252
2026-05-02T06:33:28.450000,2.7680161114479382,peak,1276
2026-05-02T06:33:59.450000,2.599987584585713,peak,1307
2026-05-02T06:34:04.450000,2.68616397962553,peak,1312
2026-05-02T06:34:29.450000,2.0262540949033885,peak,1337
2026-05-02T06:34:38.450000,6.099195405872226,peak,1346
2026-05-02T06:35:00.450000,4.465646842671911,peak,1368
2026-05-02T06:35:11.450000,2.76485743040224,peak,1379
2026-05-02T06:36:04.450000,2.8145630468490155,peak,1432
2026-05-02T06:36:42.450000,2.839605008688756,peak,1470
2026-05-02T06:36:53.450000,2.9522644103094304,peak,1481
2026-05-02T06:38:27.450000,4.563150889055596,peak,1575
2026-05-02T06:38:56.450000,2.067190449673237,peak,1604
2026-05-02T06:39:17.450000,2.0337950540941345,peak,1625
2026-05-02T06:41:05.450000,2.001646743256413,peak,1733
2026-05-02T06:41:26.450000,5.358825475122269,peak,1754
2026-05-02T06:41:32.450000,2.1430546831039297,peak,1760
2026-05-02T06:41:41.450000,2.7792901850335534,peak,1769
2026-05-02T06:43:12.450000,2.109613548401563,peak,1860
