time_center_iso,zscore,kind,idx_local
2026-05-02T06:39:24.150000,2.2714179984634595,peak,880
2026-05-02T06:42:56.150000,2.1419460853449666,peak,1092
2026-05-02T06:44:03.150000,2.276838395286205,peak,1159
2026-05-02T06:44:20.150000,2.3779597712355147,peak,1176
2026-05-02T06:44:38.150000,2.7241841978728703,peak,1194
2026-05-02T06:44:45.150000,2.150304174713152,peak,1201
2026-05-02T06:46:32.150000,2.525761415458182,peak,1308
2026-05-02T06:47:35.150000,2.176523245799289,peak,1371
2026-05-02T06:47:46.150000,3.0260756728399776,peak,1382
2026-05-02T06:51:04.150000,2.101918586977566,peak,1580
2026-05-02T06:51:49.150000,2.438619014909623,peak,1625
2026-05-02T06:51:57.150000,2.7369869218341027,peak,1633
2026-05-02T06:53:59.150000,2.2715229241304407,peak,1755
2026-05-02T06:54:06.150000,2.6032660806794423,peak,1762
2026-05-02T06:59:54.150000,2.9898918281353253,peak,2110
2026-05-02T07:01:21.150000,2.710273536390733,peak,2197
2026-05-02T07:01:28.150000,2.198947790265514,peak,2204
2026-05-02T07:01:34.150000,2.432351101846658,peak,2210
2026-05-02T07:02:24.150000,2.207799213541612,peak,2260
2026-05-02T07:06:17.150000,2.0940776384410644,peak,2493
2026-05-02T07:06:24.150000,2.056435098499368,peak,2500
2026-05-02T07:06:35.150000,4.115472777465859,peak,2511
2026-05-02T07:06:56.150000,2.48612089929732,peak,2532
2026-05-02T07:07:33.150000,2.3140512847703847,peak,2569
2026-05-02T07:07:39.150000,3.0604134189334613,peak,2575
2026-05-02T07:07:56.150000,2.054208337412768,peak,2592
2026-05-02T07:08:04.150000,2.394254197505516,peak,2600
2026-05-02T07:09:33.150000,2.177363654816842,peak,2689
2026-05-02T07:10:42.150000,2.1082136556765767,peak,2758
2026-05-02T07:12:12.150000,2.311325494824485,peak,2848
2026-05-02T07:12:17.150000,2.24938815246771,peak,2853
2026-05-02T07:14:58.150000,2.5413603451353235,peak,3014
2026-05-02T07:15:07.150000,2.1530115259171207,peak,3023
2026-05-02T07:17:42.150000,2.4216047096048143,peak,3178
2026-05-02T07:18:01.150000,2.393768720627554,peak,3197
2026-05-02T07:21:04.150000,2.727825754527853,peak,3380
2026-05-02T07:23:04.150000,2.1081787149037496,peak,3500
2026-05-02T07:24:38.150000,2.1301471771340528,peak,3594
2026-05-02T07:26:07.150000,2.3271043690078006,peak,3683
2026-05-02T07:26:12.150000,2.4369760264772524,peak,3688
2026-05-02T07:27:36.150000,2.892481554655067,peak,3772
2026-05-02T07:28:53.150000,2.619380451183133,peak,3849
2026-05-02T07:29:42.150000,2.4011810382407885,peak,3898
2026-05-02T07:33:39.150000,2.1083937095442287,peak,4135
2026-05-02T07:34:29.150000,2.082448987835446,peak,4185
2026-05-02T07:36:19.150000,2.150861465141191,peak,4295
2026-05-02T07:38:30.150000,3.2656624621681614,peak,4426
2026-05-02T07:39:41.150000,3.0192358300318443,peak,4497
2026-05-02T07:40:25.150000,2.1346184662967915,peak,4541
2026-05-02T07:40:39.150000,2.370559319925266,peak,4555
2026-05-02T07:40:45.150000,2.327598115761424,peak,4561
2026-05-02T07:41:03.150000,2.3769567532430966,peak,4579
2026-05-02T07:41:13.150000,2.2616681282921927,peak,4589
2026-05-02T07:41:36.150000,2.6501903227676467,peak,4612
2026-05-02T07:43:28.150000,2.149010697691626,peak,4724
2026-05-02T07:43:35.150000,2.389381507865896,peak,4731
