time_center_iso,zscore,kind,idx_local
2026-05-02T06:45:03.950000,2.01541130595378,peak,715
2026-05-02T06:46:16.950000,2.587010799117433,peak,788
2026-05-02T06:48:45.950000,2.486672325650761,peak,937
2026-05-02T06:49:11.950000,2.2514463199827914,peak,963
2026-05-02T06:49:17.950000,3.701104736987461,peak,969
2026-05-02T06:49:25.950000,2.101192007553851,peak,977
2026-05-02T06:50:05.950000,2.0967020383586976,peak,1017
2026-05-02T06:50:15.950000,2.600313723894552,peak,1027
2026-05-02T06:50:47.950000,2.092053846387331,peak,1059
2026-05-02T06:51:04.950000,2.0403248599747843,peak,1076
2026-05-02T06:51:24.950000,2.547604585986729,peak,1096
2026-05-02T06:52:44.950000,2.4549700900410496,peak,1176
2026-05-02T06:53:49.950000,2.253892988999756,peak,1241
2026-05-02T06:53:59.950000,2.1136788627560428,peak,1251
2026-05-02T06:54:27.950000,2.393811884980981,peak,1279
2026-05-02T06:54:32.950000,2.708259148636999,peak,1284
2026-05-02T06:54:47.950000,2.2518692727237712,peak,1299
2026-05-02T06:55:16.950000,3.126314949162022,peak,1328
2026-05-02T06:55:49.950000,2.176349864164875,peak,1361
2026-05-02T06:56:28.950000,2.4718775429270274,peak,1400
2026-05-02T06:58:19.950000,2.07461487609576,peak,1511
2026-05-02T07:01:42.950000,2.004994527776052,peak,1714
2026-05-02T07:01:57.950000,2.2617346777636134,peak,1729
2026-05-02T07:02:12.950000,2.2751129054865333,peak,1744
2026-05-02T07:03:30.950000,2.2285744818483706,peak,1822
2026-05-02T07:03:54.950000,2.441270351129724,peak,1846
2026-05-02T07:05:00.950000,2.629619817551698,peak,1912
2026-05-02T07:05:05.950000,2.5565461862094354,peak,1917
2026-05-02T07:06:14.950000,2.4165052700221987,peak,1986
2026-05-02T07:07:35.950000,2.4066252653599784,peak,2067
2026-05-02T07:07:49.950000,2.342024865153261,peak,2081
2026-05-02T07:07:54.950000,2.7132555885333183,peak,2086
2026-05-02T07:08:14.950000,2.1327198458302727,peak,2106
2026-05-02T07:10:56.950000,2.099532522983539,peak,2268
2026-05-02T07:11:02.950000,2.337927999619487,peak,2274
2026-05-02T07:11:13.950000,2.0522812793690237,peak,2285
2026-05-02T07:13:16.950000,2.391363008951185,peak,2408
2026-05-02T07:13:58.950000,2.3587976277173666,peak,2450
2026-05-02T07:15:47.950000,2.4103816352837986,peak,2559
2026-05-02T07:15:59.950000,2.8172225139593587,peak,2571
2026-05-02T07:16:16.950000,2.553214638032299,peak,2588
2026-05-02T07:16:21.950000,2.7843293820613773,peak,2593
2026-05-02T07:16:53.950000,2.219807617351682,peak,2625
2026-05-02T07:17:03.950000,2.292143256280859,peak,2635
2026-05-02T07:17:15.950000,2.326152342067316,peak,2647
2026-05-02T07:18:28.950000,2.830185698896509,peak,2720
2026-05-02T07:20:13.950000,2.278036389710977,peak,2825
2026-05-02T07:20:38.950000,2.07911581641842,peak,2850
2026-05-02T07:20:43.950000,2.6457246393059526,peak,2855
2026-05-02T07:21:01.950000,2.252759531097374,peak,2873
2026-05-02T07:21:21.950000,2.482061801904945,peak,2893
2026-05-02T07:22:29.950000,2.3112817685226545,peak,2961
2026-05-02T07:22:58.950000,2.1470729151411923,peak,2990
2026-05-02T07:23:06.950000,2.5701233333785343,peak,2998
2026-05-02T07:24:14.950000,2.3695344058072982,peak,3066
2026-05-02T07:24:22.950000,2.57041350921915,peak,3074
2026-05-02T07:25:02.950000,2.5902037872444783,peak,3114
2026-05-02T07:26:52.950000,2.0220877130772363,peak,3224
2026-05-02T07:27:17.950000,2.39624758986732,peak,3249
2026-05-02T07:27:25.950000,2.3190063704732973,peak,3257
2026-05-02T07:30:09.950000,2.241952633524261,peak,3421
2026-05-02T07:30:44.950000,2.2106100791545784,peak,3456
2026-05-02T07:31:37.950000,2.002596185722787,peak,3509
2026-05-02T07:32:47.950000,2.420407220374506,peak,3579
2026-05-02T07:32:58.950000,2.630145408898928,peak,3590
2026-05-02T07:33:03.950000,4.140034614679296,peak,3595
2026-05-02T07:33:47.950000,2.518161379771525,peak,3639
2026-05-02T07:33:54.950000,2.106726036544094,peak,3646
2026-05-02T07:34:25.950000,2.546239820253271,peak,3677
2026-05-02T07:34:49.950000,2.974585463143924,peak,3701
2026-05-02T07:34:54.950000,2.068139923815988,peak,3706
2026-05-02T07:35:01.950000,3.833184113782052,peak,3713
2026-05-02T07:35:06.950000,2.0476606725693425,peak,3718
2026-05-02T07:35:15.950000,2.543799509308944,peak,3727
2026-05-02T07:36:42.950000,2.27632101770624,peak,3814
