time_center_iso,zscore,kind,idx_local
2026-05-02T06:35:59.969538,2.451140755758728,peak,769
2026-05-02T06:36:37.969538,2.297227049040382,peak,807
2026-05-02T06:36:57.969538,2.081116174602938,peak,827
2026-05-02T06:38:28.969538,2.7996766651987146,peak,918
2026-05-02T06:38:58.969538,2.0620537962907908,peak,948
2026-05-02T06:39:04.969538,2.583796520741757,peak,954
2026-05-02T06:39:42.969538,2.298933241581509,peak,992
2026-05-02T06:41:36.969538,2.464161704632134,peak,1106
2026-05-02T06:42:01.969538,2.042993750701337,peak,1131
2026-05-02T06:44:08.969538,2.040048559527259,peak,1258
2026-05-02T06:45:46.969538,2.5241129933802813,peak,1356
2026-05-02T06:46:45.969538,2.135490582628661,peak,1415
2026-05-02T06:47:10.969538,2.320514407780392,peak,1440
2026-05-02T06:47:25.969538,2.131522392825053,peak,1455
2026-05-02T06:47:30.969538,2.4510230755348914,peak,1460
2026-05-02T06:48:13.969538,2.7429053942535395,peak,1503
2026-05-02T06:48:31.969538,2.758237374761516,peak,1521
2026-05-02T06:49:05.969538,3.386361926555196,peak,1555
2026-05-02T06:50:38.969538,3.002215657085583,peak,1648
2026-05-02T06:51:04.969538,2.3997077878108706,peak,1674
2026-05-02T06:51:20.969538,3.0658141727889148,peak,1690
2026-05-02T06:52:08.969538,2.4414654269328926,peak,1738
2026-05-02T06:52:53.969538,2.271568555345334,peak,1783
2026-05-02T06:53:08.969538,2.6301055873208985,peak,1798
2026-05-02T06:53:42.969538,2.7311814125809946,peak,1832
2026-05-02T06:54:21.969538,2.396612624780108,peak,1871
2026-05-02T06:54:35.969538,3.337873202217217,peak,1885
2026-05-02T06:55:38.969538,2.476238059934636,peak,1948
2026-05-02T06:56:18.969538,2.485433785577857,peak,1988
2026-05-02T06:57:15.969538,2.3482410608406075,peak,2045
2026-05-02T06:58:00.969538,2.162927625020028,peak,2090
2026-05-02T07:00:17.969538,2.388427266773239,peak,2227
2026-05-02T07:00:49.969538,2.00579034640702,peak,2259
2026-05-02T07:01:30.969538,2.0893094559624523,peak,2300
2026-05-02T07:01:41.969538,2.3998424722908798,peak,2311
2026-05-02T07:02:09.969538,2.3971510683182005,peak,2339
2026-05-02T07:02:15.969538,2.182985842545875,peak,2345
2026-05-02T07:02:51.969538,2.263931616650966,peak,2381
2026-05-02T07:02:57.969538,2.4752625782221003,peak,2387
2026-05-02T07:04:02.969538,2.2347397017864905,peak,2452
2026-05-02T07:04:08.969538,2.571061791978353,peak,2458
2026-05-02T07:05:44.969538,2.076515060344504,peak,2554
2026-05-02T07:05:57.969538,3.89778910900634,peak,2567
2026-05-02T07:07:58.969538,2.1217582483211315,peak,2688
2026-05-02T07:09:00.969538,2.785719331126383,peak,2750
2026-05-02T07:09:28.969538,2.2505965329775552,peak,2778
2026-05-02T07:09:33.969538,2.096174546139627,peak,2783
2026-05-02T07:09:51.969538,2.7309473569630613,peak,2801
2026-05-02T07:10:21.969538,2.120771620249476,peak,2831
2026-05-02T07:10:30.969538,2.465984036552275,peak,2840
2026-05-02T07:10:36.969538,2.0883338096654587,peak,2846
2026-05-02T07:10:42.969538,3.494058863301618,peak,2852
2026-05-02T07:11:45.969538,2.3596058897650525,peak,2915
2026-05-02T07:12:13.969538,2.6469356331583187,peak,2943
2026-05-02T07:12:58.969538,2.405903186258023,peak,2988
2026-05-02T07:14:44.969538,3.3302998613090504,peak,3094
2026-05-02T07:15:16.969538,2.0987092010784933,peak,3126
2026-05-02T07:15:44.969538,2.321867503662353,peak,3154
2026-05-02T07:15:52.969538,2.291392432638989,peak,3162
2026-05-02T07:18:37.969538,4.676042733544223,peak,3327
2026-05-02T07:18:53.969538,3.12030259020892,peak,3343
2026-05-02T07:19:58.969538,2.06625937770525,peak,3408
2026-05-02T07:20:43.969538,2.5349058486997134,peak,3453
2026-05-02T07:20:53.969538,2.8590705599326056,peak,3463
2026-05-02T07:21:35.969538,3.458146078139797,peak,3505
2026-05-02T07:21:46.969538,3.539006096962096,peak,3516
2026-05-02T07:22:05.969538,2.083381301677308,peak,3535
2026-05-02T07:22:49.969538,2.8524488224983675,peak,3579
2026-05-02T07:22:54.969538,2.123234300508269,peak,3584
2026-05-02T07:24:24.969538,2.239498673389873,peak,3674
2026-05-02T07:24:33.969538,2.690205705550125,peak,3683
2026-05-02T07:24:43.969538,2.2687661158402026,peak,3693
2026-05-02T07:24:49.969538,2.6813304558074305,peak,3699
2026-05-02T07:25:14.969538,2.082599776268357,peak,3724
2026-05-02T07:27:42.969538,2.1116617825352253,peak,3872
2026-05-02T07:28:17.969538,2.7083535670581447,peak,3907
2026-05-02T07:28:39.969538,3.5790554700930497,peak,3929
